begin_age	end_age	events
1.31	1.41	['Islamic', 'Umayyad caliphate', 'Umayyad rule', 'Umayyad caliphate', 'Late Woodland', 'Early Anasazi', 'Eastern North America Late Woodland', 'Spread of Islam', 'Islamic', 'Arabians conquer Alexandria', 'TOP', 'Muslim Arabs overthrow Sasanian rule', 'Caliphate rule', 'Islamic rule', 'Rule of the Rightly Guided Caliphs', 'Emigration of Muhammad', 'Tahitian', 'Late Classic', 'Early Classic ', '1.4 ka']
1.41	1.51	['Sui, Tang and Song Dynasties', 'Sui and Tang Dynasties', 'Sui and Tang Dynasties', 'Lombard kingdom', 'Turkish khanate', 'Late Pithouse period', 'Early Pithouse period', '-', 'TOP', 'TOP', 'TOP', 'Rapanui or Rapa Nui', 'Easter Island', 'Medieval', 'Vendel culture', 'Vendel culture', 'TOP', 'Late Northwest Coast (Developed Northwest Coast, Late Pacific, Late Prehistoric, Late Marine)', 'Hotchkiss (Late Horizon, Augustine Pattern)', 'Late Basketmaker', "High Plains Late Prehistoric (Avonlea, Late Woodland, Old Women's)", 'Late Classic (Southerm Mexican Highland Classic)', 'Early Classic (Southerm Mexican Highland Classic)', 'Ecuadorian Highlands', 'Paya', 'Tupi', 'Late Parana-Pampean']
1.51	1.61	['Merovingian (France); Visigoths (Iberia)', 'Top', 'Kingdom of Ostrogoths', 'battle of Arvarayr', 'Juan-juan empire', 'Anglo-Saxon', 'Fremont', 'Late Desert Archaic (Proto-Numic)', 'Patayan (Hakataya, Proto-Yuman)', 'TOP', 'Early classic', 'Tiwanaku (Tiahuanaco, Lake Titicaca)']
1.61	1.71	['Sasanians partition Armenia', 'Wei dynasty', 'Protoclassic', 'Byzantine Period', 'Constantine establishs rule from Byzantium (Istanbul) capital', 'Dark Ages', 'Byzantium', 'Jin, Song, Qi, Liang, Chen dynasties', 'Byzantine', 'Emperor Constantine converts to Christianity', 'Byzantine Empire', 'Emperor Constantine converts to Christianity', 'Byzantine Empire', 'Emperor Constantine converts to Christianity', 'Byzantine Empire', 'Western Roman Empire', 'Armenia adopts Christianity as state religion', 'Cape Africa Iron Age', 'Contact with Iron Age Farmers', 'Marquesan', 'TOP', 'TOP']
1.71	1.81	['Southern Mexican Highland Classic', 'Early Classic (Southerm Mexican Highland Classic)', 'Sasanian rule', 'Sasanian rule', 'Sasanian empire', '-', '-', '-', 'Huatabampo', 'West Mexico Classic']
1.81	1.91	['TOP', 'Mayan', 'Classic Maya', 'Early Classic']
1.91	2.01	['Nero crowns Trdat king of Armenia', 'Roman rule', 'Moche (Mochica, Early Chimu)', 'AD', 'Tshitolian', 'South African Early Iron Age in Zambia', 'TOP', 'Gangetic India (Northern Block Polished Ware)', 'Polynesian expansion', 'Tongan, Samoan', 'Siberian Protohistoric', 'Proto-Athapaskan (Late Northern Archaic, Late Taltheilei in East, Athapaskan, Dene)', 'Formative Oregon Coast', 'Early Hohokam', 'Early Mogollon', 'Late Basketmaker', 'Early Pithouse period', 'Pioneer period', 'Early Basketmaker (White Dog phase)', 'Gran Cocle', 'Late Amazonian']
2.01	2.11	['Roman', 'Augustus becomes emperor of Rome', 'Roman Empire', 'Roman Period', 'Death of Cleopatra VII (absorbed into Roman empire). ', 'Roman Iron Age', 'Gulf Coast Classic (Classic Veracruz)', 'Protoclassic', 'Roman rule', 'Rome overthrows the rule of Tigranes II the Great', 'Tigranes II The Great of Armenia', 'TOP', 'Roman', 'Roman Iron Age', 'Roman Iron Age', 'Roman Iron Age', 'Romano-Celtic (Proto-Celtic)', 'Roman', 'Romano-British (Proto-Celtic)', 'TOP', 'Thule', 'Thule', 'Hopewell (mound builders)', 'TOP']
2.11	2.21	['Parthian rule', 'TOP', 'Roman rule', 'Mauryan Empire', 'Central Mexico Classic (Teotihuacan)', 'Nazca through Inca kingdoms', ' Andean Regional Development', 'Coastal Andean Late Formative (Early Horizon)', 'Nazca (Nasca)', 'Han Dynasty', 'Han Dynasty', 'Great Wall']
2.21	2.31	['Qin (Chin) and Han Dynasties', 'Qin (Chin) Dynasty', 'Qin (Chin) Dynasty', 'Qin Shihuangdi', 'Parthian empire', 'Ashoka', 'TOP', 'TOP', 'TOP', 'TOP', 'Basketmaker']
2.31	2.41	['Hellenistic', 'Alexander the Great dies', 'Hellenistic period', 'Mauryan Empire', 'Seleucid Dynasty', 'Seleucid empire (Hellenistic rule)', 'Armenian Dynasty of the Orontids', 'Seleucid empire (Hellenistic rule)', 'TOP', 'Ptolemaic', 'Conquest by Alexander the Great. ', 'Hellenistic rule', 'Hellenistic rule (Macedonian dynasties)', 'Alexander the Great', 'Hellenistic rule (Seleucid period)', 'Nectanebol II, last native Egyptian king, flees. Persian rule', 'Central African Iron Age', 'Fijian', 'Celtic (La T\x8fne) culture (West Central European Iron Age)', 'Northeast Middle Woodland']
2.41	2.51	['-', 'Warring States Period', 'Warring States Period', 'Classical period', 'Battle of Thermopylae', 'Grand Canal', 'West African Iron Age', 'TOP', 'Gangetic India (Northern Block Polished Ware)', 'TOP', 'Confucius', 'Yayoi', 'Mainland Southeast Asia Late Prehistoric', 'TOP', 'Island Southeast Asia Late Prehistoric (Indo-Malasyaian Archipelago Early Metal Phase, Sa Huynh-Kalanay)', 'Somoan', 'Melanesian', 'Celtic', 'Scandinavian Iron Age (Roman Iron Age, Migration Period)', 'TOP', 'TOP', 'Harder', 'TOP', 'Plains Woodland', 'Central Coast Regional Chiefdoms', 'South Andean Ceramic', 'Roman Republic']
2.51	2.61	['Persian rule', 'Achaemenid (Persian) rule', 'Amuq Phases P-V', 'Persian rule', 'Persian rule', 'Cyrus the Great', 'Achaemenid dynasty', 'TOP', 'Collapse of Urartu', 'TOP', 'Late Iron Age III', 'Late Iron Age III', 'Adena', 'Highland Mesoamerican Late Preclassic']
2.61	2.71	['Destruction of the Assyrian capital Nineveh', 'Destruction of the Assyrian capital Nineveh', 'Medes (from Persia) destroy Assur', 'Medes (from Persia) destroy Assur', 'Late Period', 'Psammetikhos I consolidates rule over Egypt', 'Lydian kingdom', 'West-Central European Late Iron Age', 'TOP']
2.71	2.81	['Sargon II invades Urartu.', 'Assyrian control of Megiddo', 'Archaic period', 'Iron Age III Tradition', 'Early Rome', 'Nomadic Quanrong invasion', 'Assyrian then Babylonian rule', 'Phrygian kingdom', 'Iron Age', 'East-cental European Iron Age', 'West-Central European Early Iron Age (Hallastatt C/D)', 'Central European Early Iron Age', 'Northeastern European Iron Age (Dacian)', 'TOP', 'Chavin', '2.8 ka']
2.81	2.91	['King Aramu begins his reign over Urartu.', 'Geometric period']
2.91	3.01	['Neo-Assyrian / Neo-Babylonian period', 'Isrealite control of southern Levant', 'TOP', 'Aramaean (Jewish) kingdom', 'Iron Age II Tradition', 'Early Nomad (Karasuk)', 'Jomon (Final)', 'Micronesian', 'Micronesian arrival', 'TOP', 'TOP', 'TOP', 'Norton', 'Initial Shield Woodland', 'Woodland', 'Cosumnes', 'Late Southern California', 'Basketmaker II', 'Early Basketmaker (White Dog phase)', 'Trincheras', 'High Plains Late Archaic', 'Eastern North America Early Woodland', 'Trincheras', 'Early Caribbean (Saladoid, Early Ceramic, Troumassoid, Early Ostionoid)', 'Late Northwest South American Littoral', 'Coastal Andean Late Formative (Early Horizon)']
3.01	3.11	['Zhou Dynasty', 'Zhou  Dynasty', 'Zhou people conquest', 'Iron Age', '--', 'Ramesses XI dies', 'TOP', 'Late Iron Age II', 'Late Iron Age II', 'South Indian Iron Age', 'TOP']
3.11	3.21	['Greek Dark Ages', 'TOP', 'Hittite kingdom overwhelmed by the "Peoples of the Sea"', 'Iron Age', 'Amuq Phases N-O', 'Villages appear in Levant highlands', 'Villages appear in Levant highlands', 'Iron Age', 'Wadi Suq period']
3.21	3.31	['Tukulti-Ninurta I', 'Cental Indian Iron Age (Central Indian Megalithic)', 'Iron working', 'Rameses II (The Great)', 'Battle of Kadesh', 'TOP', 'Western European Late Bronze Age (Urnfield) ']
3.31	3.41	['Tutankhamun', 'Late Iron Age I', 'Late Arabian Littoral', 'Late Iron Age I', 'Akhetaten (Amhotep IV)', 'Minoan (Crete) - Postpalatial', 'King Suppiluliumus I (Hittite)', 'Olmec', 'Olmec']
3.41	3.51	['Santorini (Thera) erupted', 'Egyptian Control of Megiddo', 'Egypt Conquers Megiddo', 'Egyptian Control of Megiddo', 'Egypt Conquers Megiddo', 'TOP', 'Middle Assyrian / Babylonian period', 'Parattarna', 'Ashur-uballit I founds Assyrian Empire', 'Aryan migration into region', 'Aryan migration into region', 'Vedas composition begins', 'Jomon (Late)', 'Lapita', 'Lapita', 'Early Chibcha (Columbia)', 'Highland Andean Formative']
3.51	3.61	['New Kingdom', 'Amosis I', 'Middle Bronze II c', 'Megiddo shows evidence of interntionalism', 'Iranian Iron Age (Middle Elamite, Neo-Elamite, Median)', 'Iron Age I Tradition', 'Late Bronze Age', 'Mycenaean Period', 'Late Bronze Age', 'Mitanni period/ Kassite Interregnum', 'Bronze Age', 'Late Xiajiadian', 'Shang and Zhou Dynasties', 'Shang Dynasty', 'Shang Dynasty', 'Late Xiajiadian (Xiajiadian Shangceng)', 'TOP', 'Nicoya']
3.61	3.71	['Middle Bronze II c', 'Middle Bronze II b ', 'Alishar Becomes Part of the Hittite Kingdom', 'Hittite kingdoms', 'Minoan (Crete) - Neopalatial', 'Wadi Suq period', 'Early Dilmun (Barbar)']
3.71	3.81	['--', 'Hyksos conquer Egypt', 'Sobeknofru, first female pharoah, dies', 'Hammurapi inherits kingship of Babylon', 'Middle Bronze II b ', 'Middle Bronze II a ', 'TOP', 'Late Harappan', 'Western European Earlier Bronze Age (Tumulus Culture)', 'Northeastern European Bronze Age (Komarov, Trzciniec, Textile Pottery)', 'Scandinavian Bronze Age', 'Late Sierra Nevada', 'Preclassic Maya']
3.81	3.91	['Shamshi-Adad I', 'Localization era begins', 'Vedic (Ganges Neolithic)']
3.91	4.01	['Middle Kingdom', 'Menthotpe I regains Double Crown', 'Dry Sahara desert', 'North African Protohistoric', 'West African Neolithic', 'Middle Bronze Age', 'TOP', 'EB4 (Early Bronze 4/ Intermediate Bronze/Middle Bronze Age 1)', 'Amuq Phases K-M', 'Canaanite and Amorite dynasties', 'Middle Helladic culture', 'Minoan (Crete) - Protopalatial', 'Middle Bronze Age', 'Assyrian / Babylonian period', 'Old Assyrian / Babylonian period', 'Fall of Ur to the Amorites.', 'Umm-an-Nar Period', 'TOP', 'Mumun', 'Mumum (New Guinea)', 'TOP', 'TOP', 'Wessex culture in British Isles', 'Andronovo', 'Scythian', 'TOP', 'Tarya Neolithic', 'Eastern Arctic Small Tool', 'Kodiak (Kachemak)', 'TOP', 'TOP', 'Highland Mesoamerican Early Preclassic', 'Highland Mesoamerican Early Preclassic', 'Highland Mesoamerican Early Preclassic', 'Highland Mesoamerican Early Preclassic']
4.01	4.11	['Ur III', 'Ur-Nammu founds the third dynasty of Ur.', 'Top', 'Top', 'Xia Dynasty?', 'Formative', 'Coastal Andean Early Formative']
4.11	4.21	['TOP', '4.2 ka climate event', '--', 'Death of Pepi II; disintegration of Memphite regime', '4.2 ka Cool (Ultra-Dry) event', 'Late', 'TOP', 'Late Arabian Pastoral', 'Early Dilmun (Barbar)', 'Early Xiajiadian (Xiajiadian Xiaceng)', '4.2 ka']
4.21	4.31	['Naram-Suen', 'EB3 (Early Bronze 3)']
4.31	4.41	['Akkadian', 'Sargon', 'Longshan', 'Longshan']
4.41	4.51	['Mes-Ane-pada', 'Alishar Grows in Size', 'Ganges Neolithic (Ganges Neolithic \xd0 Chalcolithic) ', 'TOP', 'Jomon (IMiddle)', 'Bell Beaker people', 'TOP', 'Bell Beaker people', 'Ertbolle', 'Highland Andean Late Archaic (Late Preceramic, Terminal Late Archaic, Late Archaic, Transitional)']
4.51	4.61	['Khufu (Cheops)', 'Early Dynastic III Mesopotamia (Sumerian)', 'Mature Harappan', 'Large new urban centers', 'Widespread abandonment of sites', 'Kot Diji Phase']
4.61	4.71	['Old Kindom (pyramids)', 'Sanakhte or Nebka, establishes 3rd Dynasty', 'Historic period', 'EB3 (Early Bronze 3)', 'EB2 (Early Bronze 2)', 'Early Dynastic II Mesopotamia (Sumerian)', 'European Early Bronze Age', 'Arctic Small Tool', 'Western Arctic Small Tool']
4.71	4.81	['Amuq Phases H-J', 'Kot Diji Phase', 'Hakra Phase', 'Ravi Phase']
4.81	4.91	['Central African Neolithic', 'Sumerian', 'Early Dynastic I Mesopotamia (Sumerian)']
4.91	5.01	['East African Neolithic', 'Early Helladic culture (Early Bronze age)', 'Minoan (Crete) - Prepalatial', 'Copper and Bronze Age', 'Iranian Bronze Age', 'Umm-an-Nar period', 'Amri Phase', 'Central Indian Chalcolithic', 'South Indian Chalcolithic', 'Farming communities', "Old Itel'men", 'Tucaunon', 'Late East Brazilian Uplands']
5.01	5.11	['EB2 (Early Bronze 2)', 'EB1 (Early Bronze 1)', 'Early Bronze Age', 'Bronze Age', 'Southeastern European Bronze Age']
5.11	5.21	['Egyptian Dynasties', 'Early Dynastic', 'Unification; Menes (Scorpion King?)', 'Dry Sahara desert', 'Khartoum Neolithic', 'Harappan', 'Early Harappan (early Indus Chalcolithic)']
5.21	5.31	['Bronze Age', 'Dynasty 0']
5.31	5.41	[]
5.41	5.51	['Gerzeans (agriculture)', 'Historic period', 'Early Bronze Age', 'EB1 (Early Bronze 1)', 'TOP', 'Kura-Araxes culture', 'TOP', 'TOP', 'Ravi Phase', 'Balakot Phase ', 'Southeast China Late Neolithic', 'Southeast China Late Neolithic', 'Middle Northwest Coast', 'Late Northwest South American Littoral', 'Late Northwest South American Littoral']
5.51	5.61	['Amri Phase', 'Hakra Phase', 'Kongmeose', 'Caucasian Bronze Age']
5.61	5.71	['Southeastern European Late Chalcolithic']
5.71	5.81	['Middle Arabian Pastoral', 'Late Chalcolithic Mesopotamia']
5.81	5.91	['Late Iranian Chalcolithic', '5.9 ka']
5.91	6.01	['Uruk period', 'Balakot Phase ', 'Eastern Central Asia Neolithic and Bronze', 'TOP', 'Hallstatt cultures', 'Corded Ware culture', 'European Megalithic', 'Corded Ware culture (Battle Axe, Globular Amphorae)', ' Scandinavian Neolithic', 'Archaic', 'Aleutian', 'Shield Archaic', 'Northern', 'Late Archaic', 'TOP', 'Eastern North America Late Archaic']
6.01	6.11	[]
6.11	6.21	['TOP', 'TOP', 'Dawenkou', 'Top', 'Southeastern European Early Chalcolithic']
6.21	6.31	['Ubaid 4', 'Indus Stage 2', 'Developed farming communities', 'Magellan-Fuegan']
6.31	6.41	[]
6.41	6.51	['Ubaid 3', 'Naqadan Culture', 'Badari (semi-nomadic)', 'Rapid drying of Sahara', 'Chalcolithic', 'Southeast Asia Neolithic and Bronze', 'Chalcolithic (Copper Age)', 'Eurasian Steppe Nomad (Yamnaya, Katacombnaya)', 'Linear Pottery culture (Linearbandkeramik (LBK) culture)', 'Linear Pottery culture (Linearbandkeramik (LBK) culture)', 'Linear Pottery culture (Linearbandkeramik (LBK) culture)', ' Eurasian Steppe Nomad']
6.51	6.61	[]
6.61	6.71	['Ubaid 2']
6.71	6.81	['Middle Iranian Chalcolithic', 'Impressed Ware']
6.81	6.91	['Neolithic (Impressed Ware pottery)', 'Neolithic (Impressed Ware pottery)', 'Ubaid 1']
6.91	7.01	['Ubaid culture', 'Alishar', 'Ubaid culture', 'TOP', 'Neolithic', 'Calcolithic (Copper Age)', 'Middle Arabian Littoral', 'Top', 'Late Neolithic', 'Honshan', 'Yangshao', 'Painted ceramics, Hemudu', 'Jomon (Early)', 'Late Australian', 'Northwest Microblade', 'Archaic', 'Highland Mesoamerican Archaic', 'Highland Mesoamerican Archaic', 'Highland Mesoamerican Archaic', 'Highland Mesoamerican Archaic', 'Lowland Mesoamerican Archaic', 'Archaic', 'Highland Andean Early Archaic', 'Coastal  Andean Early Archaic', 'Early Parana-Pampean', 'Early Amazonian', 'Sambaqui']
7.01	7.11	['Ubaid ', 'Ubaid 0']
7.11	7.21	[]
7.21	7.31	[]
7.31	7.41	['Organized, permanent settlements focused around agriculture']
7.41	7.51	['Saharo-Sudanese Neolithic', 'Southern Mediterranean Neolithic', 'Blombos Cave', 'Iranian Chalcolithic', 'Early Iranian Chalcolithic', 'Early Indus (PreHarappan, Early Harappan)']
7.51	7.61	[]
7.61	7.71	['Halafian']
7.71	7.81	[]
7.81	7.91	['Amuq Phases C-G']
7.91	8.01	['Neolithic', 'Saharo-Sudanese Neolithic', 'Saharo-Sudanese Neolithic', 'Ceramic Neolithic (Late or Pottery Neolithic)', 'Ceramic Neolithic', 'Chulumn (Pissalmun, Comb-Pattern)', 'Neolithic', 'Southeastern European Neolithic (Karanovo, Sesklo) ', 'Kelteminar', 'Siberian Neolithic and Bronze', 'Baikal Neolithic and Bronze', 'Kamchatka Mesolithic', 'Ocean Bay', 'Late Tundra', 'Middle Archaic', 'Cascade', 'Windmiller (Early Horizon)', 'Early Southern California', 'TOP', 'Middle Desert Archaic (Southwest Archaic, Western Archaic)', 'TOP', 'High Plains Early and Middle Archaic', 'Eastern North America Middle Archaic', 'Coahuilan']
8.01	8.11	['Wet Sahara (no desert)', 'Halafian', '8.2 ka']
8.11	8.21	['Middle', '8.2 ka Cool event (Dry)', 'Samarra and Hassuna cultures']
8.21	8.31	['Bashendi pastorism']
8.31	8.41	[]
8.41	8.51	['Early Khartoum', 'Halaf culture', 'Ceramic phase of Iranian Neolithic', 'Peilingang, Yangshao, Hongshan, Daxi, Majiabang', 'TOP', 'Peilingang (central)', 'Small agricultural villages']
8.51	8.61	[]
8.61	8.71	[]
8.71	8.81	['Amuq Phases A-B']
8.81	8.91	[]
8.91	9.01	['Mesolithic-Neolithic transition', 'Neolithic', 'Neolithic (pre-pottery)', 'Neolithic', 'Indus Neolithic', 'Farming begins, Indus Stage 1', 'Southeast China Early Neolithic (Dapenkeng)', 'Southeast China Early Neolithic (Dapenkeng)', 'Plains Archaic', 'Early Northwest South American Littoral']
9.01	9.11	[]
9.11	9.21	[]
9.21	9.31	[]
9.31	9.41	['9.4 ka']
9.41	9.51	['TOP', 'Western European Mesolithic', 'Western European Mesolithic', 'Early Northwest Coast (Pebble Tool Tradition)']
9.51	9.61	['Early Archaic', 'Early Mesoamerican Archaic', 'Early Mesoamerican Archaic', 'Early Mesoamerican Archaic', 'Early Mesoamerican Archaic']
9.61	9.71	[]
9.71	9.81	[]
9.81	9.91	[]
9.91	10.01	['Neolithic of Capsian', 'Capsian Cultural complex in inland northern Africa.', 'Wilton', 'Jomon (Initial) ', 'Hoabinhian', 'New Guinea Neolithic', 'TOP', 'Early Archaic', 'Early Sierra Nevada (Early Archaic Cascades)', 'Archaic Oregon Coast', 'San Dieguito', 'Early Desert Archaic', 'Eastern North America Early Archaic']
10.01	10.11	[]
10.11	10.21	[]
10.21	10.31	['Mesolithic (Epipaleolithic)', 'Mesolithic', '10.3 ka']
10.31	10.41	[]
10.41	10.51	['Masara', 'Wet Sahara (no desert)', 'Aceramic Neolithic (Pre-Pottery Neolithic)', 'Aceramic Neolithic (Pre-Pottery Neolithic)', 'Aceramic Neolithic (Pre-Pottery Neolithic)', 'Holocene Stone Age of Northeast Asia']
10.51	10.61	[]
10.61	10.71	[]
10.71	10.81	['TOP']
10.81	10.91	[]
10.91	11.01	['Mesolithic', 'Early Arabian Pastoral', 'Early Arabian Littoral', 'Mesolithic', ' Eastern European Mesolithic (Epipaleolithic)', 'Northern Mediterranean Mesolithic (Epipaleolithic)', 'TOP', 'Paleo-Arctic', 'Paleo-Arctic', 'Paleo-Arctic', 'Paleo-Arctic', 'Paleo-Arctic', 'Late Paleo-Indian (Folsom)', 'Old Amazonian Collecting-Hunting', 'Early East Brazilian Uplands']
11.01	11.11	['11.1 ka']
11.11	11.21	[]
11.21	11.31	[]
11.31	11.41	[]
11.41	11.51	['Pre-Pottery Neolithic', 'Iranian Neolithic', 'Aceramic phase of the Iranian Neolithic']
11.51	11.61	[]
11.61	11.71	[]
11.71	11.81	['Early', 'Mesolithic']
11.81	11.91	[]
